stratum,outlets,retained_per_outlet,stratum_retained
General,Reuters; Associated Press; BBC; The Guardian,2 each,8
Business / Mainstream Technology,Bloomberg; Financial Times; Fortune; WIRED,2 each,8
Specialist Technology / Cybersecurity,Ars Technica; The Register; BleepingComputer; Computer Weekly,2 each,8
