unit,assessable_n,drift,borderline,lower_pct,upper_pct,adjudicated_pct,excluded_unrepresented,excluded_novel_reporting
BODY,83,7,2,8.4,10.8,8.4,9,4
SURFACE,40,2,2,5.0,10.0,7.5,53,3
